id	symbol	chr	strand	nprots	ntrans	SV	WT	SV_prots	WT_prots	min_skipped_exon	max_skipped_exon	min_skipped_bases	max_skipped_bases
ENSG00000134769	DTNA	18	+	31	38	32400880:32407557	32400880:32405231|32400880:32401064|32400880:32405231|32401073:32401437|32401440:32407557|32405240:32407557	ENSP00000269192|ENSP00000336682|ENSP00000382048|ENSP00000382072|ENSP00000451516|ENSP00000452255|ENSP00000467720|ENSP00000468138|ENSP00000470152|ENSP00000470247|ENSP00000470934|ENSP00000471783|ENSP00000473078|ENSP00000473119	ENSP00000269190|ENSP00000269191|ENSP00000283365|ENSP00000322519|ENSP00000382064|ENSP00000405819|ENSP00000470716|ENSP00000472031	1	2	9	12
ENSG00000099840	IZUMO4	19	+	3	11	2098804:2099254	2098804:2098975|2099029:2099254	ENSP00000378718	ENSP00000378712	1	1	54	54
ENSG00000114544	SLC41A3	3	-	17	22	125769894:125786790	125769894:125775201|125775357:125786790	ENSP00000326070|ENSP00000353533|ENSP00000421008|ENSP00000421940|ENSP00000422531|ENSP00000422828|ENSP00000423154|ENSP00000423524|ENSP00000424882	ENSP00000425373	1	1	156	156
ENSG00000163618	CADPS	3	-	10	18	62478122:62484837	62478122:62479320|62478122:62483821|62479341:62484837|62483830:62484837	ENSP00000283269|ENSP00000350632	ENSP00000373215|ENSP00000418110	1	1	9	21
ENSG00000152601	MBNL1	3	+	19	24	152173367:152177060	152173367:152174056|152174151:152177060	ENSP00000350064|ENSP00000418508|ENSP00000420103	ENSP00000319429|ENSP00000417630|ENSP00000419347|ENSP00000437491	1	1	95	95
ENSG00000005844	ITGAL	16	+	11	20	30490530:30492760	30490530:30490652|30490783:30492760	ENSP00000408615|ENSP00000454342	ENSP00000349252	1	1	131	131
ENSG00000026508	CD44	11	+	30	42	35211613:35227659	35211613:35219668|35211613:35226059|35211613:35218293|35218422:35219668|35219794:35222629|35222743:35223218|35222743:35223215|35223335:35226059|35223335:35227659|35226188:35227659	ENSP00000432405	ENSP00000389830|ENSP00000391008|ENSP00000398632|ENSP00000403990|ENSP00000414567|ENSP00000436549	1	5	129	618
ENSG00000124256	ZBP1	20	-	6	11	56190117:56191300	56190117:56190568|56190637:56191300	ENSP00000344954	ENSP00000340584|ENSP00000360215|ENSP00000440552	1	1	69	69
ENSG00000156990	RPUSD3	3	-	9	17	9883928:9885574	9883928:9885149|9885286:9885574	ENSP00000396405	ENSP00000373331|ENSP00000395446|ENSP00000400397|ENSP00000415616	1	1	137	137
ENSG00000149311	ATM	11	+	8	25	108160529:108165654	108160529:108163346|108163521:108164040|108164205:108165654	ENSP00000434327	ENSP00000278616|ENSP00000388058	2	2	340	340
ENSG00000136689	IL1RN	2	+	5	9	113875606:113885266	113875606:113877643|113877706:113885266	ENSP00000329072	ENSP00000259206	1	1	63	63
ENSG00000165113	GKAP1	9	-	4	7	86368275:86395297	86368275:86383733|86383886:86395297	ENSP00000365544	ENSP00000365550	1	1	153	153
ENSG00000166788	SAAL1	11	-	8	15	18103051:18108413	18103051:18105082|18105276:18108413|18105279:18108413	ENSP00000436031	ENSP00000300013|ENSP00000432487	1	1	194	197
ENSG00000182628	SKA2	17	-	9	10	57189707:57208642	57189707:57196660|57189707:57196680|57196857:57208642	ENSP00000411231|ENSP00000462220	ENSP00000333433|ENSP00000462574	1	1	177	197
ENSG00000118307	CASC1	12	-	10	14	25308347:25348010	25308347:25311406|25308347:25314047|25311498:25314047|25314132:25343548|25314132:25348010|25343566:25348010	ENSP00000437373	ENSP00000313141|ENSP00000379310|ENSP00000450703	1	3	85	195
ENSG00000163683	SMIM14	4	-	4	6	39558191:39606691	39558191:39574035|39574084:39606691	ENSP00000425371	ENSP00000295958|ENSP00000422904	1	1	49	49
ENSG00000121486	TRMT1L	1	-	3	5	185097880:185106738	185097880:185106574|185106639:185106738	ENSP00000356476|ENSP00000414339	ENSP00000356474	1	1	65	65
ENSG00000091732	ZC3HC1	7	-	9	11	129662366:129664103	129662366:129663351|129663564:129664103	ENSP00000353933	ENSP00000309301|ENSP00000351052|ENSP00000418533	1	1	213	213
ENSG00000171634	BPTF	17	+	12	18	65924718:65925452	65924718:65925075|65925237:65925452	ENSP00000307208|ENSP00000315454|ENSP00000334351|ENSP00000388405|ENSP00000440854	ENSP00000463776	1	1	162	162
ENSG00000205423	CNEP1R1	16	+	9	11	50060379:50067308	50060379:50063636|50063710:50067308	ENSP00000373786|ENSP00000456294|ENSP00000456913	ENSP00000394224|ENSP00000405635|ENSP00000454356|ENSP00000454676|ENSP00000456686|ENSP00000457787	1	1	74	74
ENSG00000109917	ZNF259	11	-	6	8	116650554:116653635	116650554:116652874|116652961:116653635	ENSP00000390391	ENSP00000227322|ENSP00000394495	1	1	87	87
ENSG00000168591	TMUB2	17	+	15	15	42266668:42267869	42266668:42266779|42266957:42267869	ENSP00000465015|ENSP00000465153|ENSP00000466189	ENSP00000413127	1	1	178	178
ENSG00000049541	RFC2	7	-	12	12	73657577:73664069	73657577:73663342|73657577:73660992|73661094:73663342|73663449:73664069	ENSP00000419341	ENSP00000055077|ENSP00000275627	1	2	107	209
ENSG00000170234	PWWP2A	5	-	6	6	159505176:159520108	159505176:159507658|159507778:159520108	ENSP00000428143	ENSP00000390462	1	1	120	120
ENSG00000145362	ANK2	4	+	17	25	114290962:114294246	114290962:114293689|114293782:114294246	ENSP00000264366|ENSP00000349588|ENSP00000378044|ENSP00000421067|ENSP00000422498|ENSP00000426944	ENSP00000421023|ENSP00000422853	1	1	93	93
ENSG00000128923	FAM63B	15	+	5	5	59114019:59139496	59114019:59123973|59124116:59139496	ENSP00000326194	ENSP00000393231|ENSP00000452885	1	1	143	143
ENSG00000165264	NDUFB6	9	-	2	2	32553943:32570958	32553943:32558908|32558953:32570958	ENSP00000297983	ENSP00000369176	1	1	45	45
ENSG00000173039	RELA	11	-	17	25	65427269:65429408	65427269:65427595|65427269:65429158|65427687:65429158|65427687:65429408|65429307:65429408|65429340:65429408	ENSP00000433144	ENSP00000384273|ENSP00000432537|ENSP00000432922|ENSP00000433526|ENSP00000434372|ENSP00000435290|ENSP00000436545|ENSP00000437137	1	2	92	274
ENSG00000159082	SYNJ1	21	-	10	12	34045842:34050955	34045842:34048642|34048666:34050955	ENSP00000371931|ENSP00000413649	ENSP00000322234|ENSP00000349903|ENSP00000371939|ENSP00000409667	1	1	24	24
ENSG00000140859	KIFC3	16	-	26	35	57792822:57794638	57792822:57793640|57793749:57794194|57794329:57794638	ENSP00000457568	ENSP00000368976	2	2	244	244
ENSG00000265190	ANXA8	HG1211_PATCH	-	4	7	47970453:47972529	47970453:47970941|47970453:47971680|47971021:47971680|47971771:47972529	ENSP00000464486	ENSP00000462880|ENSP00000463091|ENSP00000463244	1	2	91	171
ENSG00000130413	STK33	11	-	14	18	8483457:8494710	8483457:8486256|8486370:8494710	ENSP00000436905	ENSP00000320754|ENSP00000379905|ENSP00000379906|ENSP00000391362|ENSP00000403599|ENSP00000411510|ENSP00000416750|ENSP00000436418	1	1	114	114
ENSG00000124678	TCP11	6	-	24	27	35096960:35108982	35096960:35103884|35096960:35108524|35103981:35108982|35103981:35108524|35103996:35108524|35103996:35108982|35108662:35108982	ENSP00000415562|ENSP00000424209	ENSP00000308708|ENSP00000363085|ENSP00000402816|ENSP00000404479|ENSP00000422259	1	2	97	250
ENSG00000131650	KREMEN2	16	+	6	6	3017447:3017811	3017447:3017527|3017606:3017811	ENSP00000322079|ENSP00000459878	ENSP00000304422|ENSP00000461860	1	1	79	79
ENSG00000132704	FCRL2	1	-	4	6	157716690:157718665	157716690:157718343|157718409:157718665	ENSP00000357163	ENSP00000355157	1	1	66	66
ENSG00000134644	PUM1	1	-	19	24	31426829:31438829	31426829:31437521|31437758:31438829	ENSP00000435825	ENSP00000257075|ENSP00000362846|ENSP00000362847|ENSP00000362852|ENSP00000391723|ENSP00000399440|ENSP00000400141|ENSP00000401777|ENSP00000433850	1	1	237	237
ENSG00000183853	KIRREL	1	+	6	6	158047931:158057545	158047931:158054212|158054370:158056386|158056537:158057545	ENSP00000353202|ENSP00000376098	ENSP00000352138|ENSP00000357155	2	2	309	309
ENSG00000123124	WWP1	8	+	6	13	87386350:87423767	87386350:87392955|87393094:87393734|87393859:87410571|87393859:87423767|87410709:87410801|87410868:87414248|87414433:87423767	ENSP00000342665	ENSP00000265428|ENSP00000340564|ENSP00000427793	2	5	264	654
ENSG00000257374	AC217778.1	HSCHR17_1	-	3	3	43598048:43617949	43598048:43614351|43614432:43615079|43615151:43617949	ENSP00000449155	ENSP00000446532|ENSP00000449885	2	2	153	153
ENSG00000185480	PARPBP	12	+	11	14	102542242:102547647	102542242:102545348|102545579:102547647	ENSP00000332915|ENSP00000351153|ENSP00000367368|ENSP00000376643|ENSP00000393867|ENSP00000411313	ENSP00000440850	1	1	231	231
ENSG00000262176	C11orf1	HG388_HG400_PATCH	+	5	5	111753322:111754494	111753322:111753859|111753926:111754494	ENSP00000461699	ENSP00000458308|ENSP00000458757|ENSP00000459272|ENSP00000461018	1	1	67	67
ENSG00000156398	SFXN2	10	+	10	13	104488287:104492616	104488287:104489076|104489152:104489480|104489566:104491480|104491541:104491909|104491976:104492616	ENSP00000473504	ENSP00000358909	4	4	290	290
ENSG00000152601	MBNL1	3	+	19	24	152174151:152177060	152174151:152175919|152175983:152177060	ENSP00000282486|ENSP00000282488|ENSP00000319429|ENSP00000347637|ENSP00000417630|ENSP00000418108|ENSP00000418427|ENSP00000419347|ENSP00000437491	ENSP00000319374|ENSP00000418876	1	1	64	64
ENSG00000013563	DNASE1L1	X	-	11	12	153631532:153633775	153631532:153631610|153631723:153631863|153631964:153633169|153633256:153633336|153633425:153633775	ENSP00000416881	ENSP00000014935|ENSP00000309168|ENSP00000358822|ENSP00000358823|ENSP00000358824|ENSP00000377255|ENSP00000393346	4	4	390	390
ENSG00000103066	PLA2G15	16	+	8	12	68279457:68283193	68279457:68282472|68282596:68283193	ENSP00000219345|ENSP00000454227|ENSP00000454557|ENSP00000455461|ENSP00000457034	ENSP00000457049	1	1	124	124
ENSG00000135899	SP110	2	-	9	17	231065682:231072706	231065682:231067295|231067439:231072706|231067445:231072706	ENSP00000344049	ENSP00000258381|ENSP00000258382|ENSP00000351488|ENSP00000375902|ENSP00000439558	1	1	144	150
ENSG00000168288	MMADHC	2	-	3	4	150427686:150432225	150427686:150428744|150428846:150432225	ENSP00000301920|ENSP00000389060	ENSP00000408331	1	1	102	102
ENSG00000204568	MRPS18B	6	+	2	5	30587767:30592660	30587767:30590609|30590676:30592660	ENSP00000445207	ENSP00000259873	1	1	67	67
ENSG00000104047	DTWD1	15	+	10	13	49924500:49926733	49924500:49925717|49925810:49926733	ENSP00000251250|ENSP00000385399|ENSP00000398958|ENSP00000453529|ENSP00000453649	ENSP00000453071	1	1	93	93
ENSG00000131018	SYNE1	6	-	21	41	152809639:152823768	152809639:152819877|152819928:152823768	ENSP00000356217|ENSP00000441264	ENSP00000265368|ENSP00000341887|ENSP00000356222|ENSP00000356224|ENSP00000390975|ENSP00000396024|ENSP00000414510|ENSP00000446021	1	1	51	51
ENSG00000269265	RIBC1	HG1433_PATCH	+	4	5	53171085:53172854	53171085:53171283|53171628:53172854	ENSP00000470458	ENSP00000473088	1	1	345	345
ENSG00000167858	TEKT1	17	-	5	6	6719282:6733506	6719282:6722512|6722678:6733506	ENSP00000460359	ENSP00000341346	1	1	166	166
ENSG00000130956	HABP4	9	+	2	3	99220824:99246744	99220824:99227619|99227781:99227992|99228061:99233293|99233377:99246744	ENSP00000364400	ENSP00000364398	3	3	315	315
ENSG00000132781	MUTYH	1	-	28	41	45798997:45800063	45798997:45799085|45799234:45800063|45799237:45800063|45799267:45800063|45799276:45800063	ENSP00000431568	ENSP00000346354|ENSP00000347685|ENSP00000361170|ENSP00000361172|ENSP00000361176|ENSP00000361182|ENSP00000361187|ENSP00000403655|ENSP00000407590|ENSP00000408176|ENSP00000409718|ENSP00000433130|ENSP00000434985	1	1	149	191
ENSG00000105707	HPN	19	+	4	9	35550707:35551531	35550707:35550778|35550901:35551033|35551074:35551251|35551417:35551531	ENSP00000470327	ENSP00000262626|ENSP00000376060	3	3	330	330
ENSG00000168671	UGT3A2	5	-	5	6	36052087:36066798	36052087:36064351|36064453:36066798	ENSP00000427404	ENSP00000282507|ENSP00000420865|ENSP00000426017	1	1	102	102
ENSG00000148498	PARD3	10	-	13	14	34620273:34626203	34620273:34625127|34625172:34626203	ENSP00000363926	ENSP00000340591|ENSP00000341844|ENSP00000363920|ENSP00000363921|ENSP00000363922|ENSP00000443147	1	1	45	45
ENSG00000124067	SLC12A4	16	-	11	20	67986329:68002342	67986329:67988546|67988677:67991645|67991700:67991801|67991948:67995478|67995610:67997368|67995610:68002342|67995610:67997368|67997463:68002342	ENSP00000458975	ENSP00000318557|ENSP00000343374|ENSP00000395983|ENSP00000458902|ENSP00000461403	4	5	465	560
ENSG00000012048	BRCA1	17	-	29	31	41228629:41234421	41228629:41231351|41231417:41234421	ENSP00000417148|ENSP00000417241|ENSP00000420705	ENSP00000418960	1	1	66	66
ENSG00000166908	PIP4K2C	12	+	8	8	57992995:57994107	57992995:57993183|57993222:57994107	ENSP00000449538	ENSP00000347032|ENSP00000412035|ENSP00000439878|ENSP00000447390	1	1	39	39
ENSG00000130208	APOC1	19	+	10	10	45418207:45422430	45418207:45419447|45419583:45422430|45419617:45422430|45419728:45422430	ENSP00000467504	ENSP00000252491|ENSP00000465356|ENSP00000466146|ENSP00000467368|ENSP00000468029|ENSP00000468276	1	1	136	281
ENSG00000196776	CD47	3	-	4	5	107766140:107769425	107766140:107768466|107768499:107769425	ENSP00000430843	ENSP00000355361|ENSP00000381309	1	1	33	33
ENSG00000018236	CNTN1	12	+	11	12	41302296:41312441	41302296:41303875|41303908:41312441	ENSP00000261160	ENSP00000325660|ENSP00000353213|ENSP00000447006|ENSP00000447860|ENSP00000447862|ENSP00000448004|ENSP00000448653|ENSP00000449706|ENSP00000450412	1	1	33	33
ENSG00000137776	SLTM	15	-	14	26	59191052:59193459	59191052:59191668|59192083:59193459|59192137:59193459	ENSP00000452945|ENSP00000453711	ENSP00000249736|ENSP00000369887	1	1	415	469
ENSG00000105379	ETFB	19	-	3	5	51853646:51857404	51853646:51856386|51856545:51857404	ENSP00000469628	ENSP00000311930|ENSP00000346173	1	1	159	159
ENSG00000135931	ARMC9	2	+	7	14	232100095:232121299	232100095:232104656|232104755:232121299	ENSP00000392086	ENSP00000258417	1	1	99	99
ENSG00000061794	MRPS35	12	+	5	5	27877120:27890472	27877120:27888380|27888490:27890472	ENSP00000445390	ENSP00000081029	1	1	110	110
ENSG00000105778	AVL9	7	+	4	9	32615685:32620414	32615685:32619831|32619885:32620414	ENSP00000387011	ENSP00000315568	1	1	54	54
ENSG00000266028	SRGAP2	HG1293_PATCH	+	7	14	206518586:206522184	206518586:206521932|206521971:206522184	ENSP00000459615	ENSP00000474818	1	1	39	39
ENSG00000153391	INO80C	18	-	9	12	33048707:33077683	33048707:33058246|33058314:33059264|33058314:33077683|33059376:33060417|33060528:33067350|33060528:33077683|33067404:33069296|33069350:33077683	ENSP00000467708	ENSP00000334473|ENSP00000391457|ENSP00000467013	1	5	68	399
ENSG00000204936	CD177	19	+	4	5	43860261:43864417	43860261:43863300|43863419:43864417	ENSP00000475577	ENSP00000367248	1	1	119	119
ENSG00000136280	CCM2	7	+	8	19	45104246:45112325	45104246:45108042|45108179:45109425|45109561:45112325	ENSP00000419474|ENSP00000438035	ENSP00000258781|ENSP00000370503|ENSP00000417180|ENSP00000444725	2	2	273	273
ENSG00000104980	TIMM44	19	-	5	12	8003083:8008492	8003083:8005987|8006083:8008492	ENSP00000469389	ENSP00000270538|ENSP00000471596|ENSP00000472916	1	1	96	96
ENSG00000160058	BSDC1	1	-	12	18	32846870:32859681	32846870:32849431|32846870:32852380|32849541:32859681|32849599:32859681|32849599:32852380|32849650:32852380|32852497:32859681	ENSP00000432382	ENSP00000344816|ENSP00000391762|ENSP00000397759|ENSP00000405752|ENSP00000409114|ENSP00000412173|ENSP00000414103|ENSP00000432524|ENSP00000435888	1	2	110	336
ENSG00000169621	APLF	2	+	3	5	68694960:68729863	68694960:68717322|68717394:68729863	ENSP00000432297	ENSP00000307004|ENSP00000393403	1	1	72	72
ENSG00000161040	FBXL13	7	-	10	14	102462651:102495224	102462651:102462830|102462651:102473287|102462888:102495224|102473422:102495224	ENSP00000368610|ENSP00000391550	ENSP00000321927|ENSP00000388608|ENSP00000405434	1	1	58	135
ENSG00000262279	NCAM1	HG306_PATCH	+	18	25	113142599:113145989	113142599:113143655|113143771:113145989|113144471:113145989	ENSP00000459932|ENSP00000466295|ENSP00000466544|ENSP00000467273|ENSP00000467954	ENSP00000460385|ENSP00000466696	1	1	116	816
ENSG00000133318	RTN3	11	+	11	14	63449251:63486453	63449251:63472323|63472380:63486453	ENSP00000442733	ENSP00000441614	1	1	57	57
ENSG00000264524	MTMR11	HG1287_PATCH	-	4	12	150617381:150620606	150617381:150617675|150617381:150618359|150617842:150618359|150618430:150618679|150618746:150619821|150619946:150620025|150620114:150620270|150620358:150620606	ENSP00000464585	ENSP00000462570|ENSP00000463324|ENSP00000464592	5	6	440	607
ENSG00000155714	PDZD9	16	-	4	4	22000113:22012338	22000113:22007643|22000113:22006559|22006630:22007643|22007823:22012338	ENSP00000441685	ENSP00000400514|ENSP00000429211	1	2	180	251
ENSG00000108256	NUFIP2	17	-	2	2	27594549:27620801	27594549:27613010|27614735:27620801	ENSP00000463450	ENSP00000225388	1	1	1725	1725
ENSG00000169994	MYO7B	2	+	6	9	128367592:128370051	128367592:128369825|128369903:128370051	ENSP00000374175|ENSP00000386461|ENSP00000415090	ENSP00000456661	1	1	78	78
ENSG00000160917	CPSF4	7	+	8	13	99045897:99048325	99045897:99047899|99047995:99048325	ENSP00000396060	ENSP00000292476|ENSP00000395311|ENSP00000401150|ENSP00000402224	1	1	96	96
ENSG00000166863	TAC3	12	-	9	10	57406237:57407143	57406237:57406606|57406660:57407143	ENSP00000368721|ENSP00000408208|ENSP00000416292	ENSP00000300108|ENSP00000402995|ENSP00000404056	1	1	54	54
ENSG00000159363	ATP13A2	1	-	10	14	17316266:17316622	17316266:17316382|17316499:17316622	ENSP00000341115	ENSP00000327214|ENSP00000413307	1	1	117	117
ENSG00000077809	GTF2I	7	+	6	21	74131271:74143124	74131271:74133198|74133261:74143124	ENSP00000322599|ENSP00000387651	ENSP00000322542|ENSP00000322671	1	1	63	63
ENSG00000188649	CC2D2B	10	+	4	4	97779582:97791577	97779582:97784610|97784669:97786969|97787147:97791577	ENSP00000343747	ENSP00000386988	2	2	237	237
ENSG00000171747	LGALS4	19	-	4	9	39294192:39294509	39294192:39294382|39294421:39294509	ENSP00000470387	ENSP00000302100	1	1	39	39
ENSG00000105429	MEGF8	19	+	5	7	42874984:42879659	42874984:42875502|42875635:42879659	ENSP00000367313|ENSP00000470620	ENSP00000251268|ENSP00000334219	1	1	133	133
ENSG00000205838	TTC23L	5	+	3	7	34840845:34863003	34840845:34845592|34845779:34850290|34850414:34863003	ENSP00000424418	ENSP00000422188|ENSP00000425242	2	2	311	311
ENSG00000134982	APC	5	+	8	13	112116601:112136976	112116601:112128143|112128227:112136976	ENSP00000423224	ENSP00000257430|ENSP00000413133|ENSP00000423828|ENSP00000424265|ENSP00000427089	1	1	84	84
ENSG00000124440	HIF3A	19	+	13	21	46807346:46811478	46807346:46808502|46807346:46808356|46807346:46808502|46808393:46808502|46808648:46811478	ENSP00000244303|ENSP00000407771|ENSP00000432809|ENSP00000434653|ENSP00000471560	ENSP00000300862|ENSP00000341877|ENSP00000366898|ENSP00000435200	1	2	146	183
ENSG00000153207	AHCTF1	1	-	5	8	247006079:247012917	247006079:247007097|247007231:247012917	ENSP00000418007	ENSP00000355464|ENSP00000355465|ENSP00000375705	1	1	134	134
ENSG00000107021	TBC1D13	9	+	3	5	131559494:131568138	131559494:131565529|131565740:131566235|131566399:131568138	ENSP00000223865	ENSP00000361731	2	2	375	375
ENSG00000137502	RAB30	11	-	15	15	82698813:82708266	82698813:82705081|82705165:82708266	ENSP00000433243|ENSP00000436282	ENSP00000260056|ENSP00000432193|ENSP00000432336|ENSP00000434953|ENSP00000434974|ENSP00000435089|ENSP00000435189|ENSP00000435542|ENSP00000437235	1	1	84	84
ENSG00000138078	PREPL	2	-	14	16	44556252:44565490	44556252:44559598|44559796:44565490	ENSP00000367781	ENSP00000260648|ENSP00000386509|ENSP00000386543|ENSP00000386909|ENSP00000387095|ENSP00000387241|ENSP00000391456|ENSP00000409480|ENSP00000439626	1	1	198	198
ENSG00000273446	MBOAT7	HSCHR19LRC_LRC_S_CTG1	-	9	14	54678126:54687404	54678126:54682482|54682659:54684490|54684851:54687404	ENSP00000476455	ENSP00000476602|ENSP00000476721|ENSP00000476777	2	2	538	538
ENSG00000100644	HIF1A	14	+	5	12	62211532:62213652	62211532:62212409|62212536:62213652	ENSP00000323326	ENSP00000338018|ENSP00000378446|ENSP00000437955|ENSP00000451696	1	1	127	127
ENSG00000092148	HECTD1	14	-	7	18	31597213:31602444	31597213:31597818|31598514:31602444|31598655:31602444	ENSP00000452233	ENSP00000382269|ENSP00000450697|ENSP00000451860	1	1	696	837
ENSG00000068650	ATP11A	13	+	8	16	113513767:113516754	113513767:113514601|113514729:113516754	ENSP00000420696	ENSP00000283558|ENSP00000364781|ENSP00000364796|ENSP00000420387	1	1	128	128
ENSG00000066468	FGFR2	10	-	17	22	123310974:123353223	123310974:123324016|123324094:123324952|123324094:123353223|123325219:123353223	ENSP00000348559|ENSP00000358055|ENSP00000474109	ENSP00000263451|ENSP00000309878|ENSP00000337665|ENSP00000350166|ENSP00000351276|ENSP00000352309|ENSP00000353262|ENSP00000358052|ENSP00000358054|ENSP00000358056|ENSP00000358057|ENSP00000410294	1	2	78	345
ENSG00000149294	NCAM1	11	+	6	30	113105887:113117090	113105887:113107023|113107038:113111508|113111556:113113527|113113569:113117090	ENSP00000473281|ENSP00000474028	ENSP00000474891	3	3	105	105
ENSG00000198721	ECI2	6	-	9	12	4119510:4127996	4119510:4125484|4125605:4126369|4126472:4127996	ENSP00000417803	ENSP00000354737|ENSP00000369461|ENSP00000369468|ENSP00000406969|ENSP00000420309	2	2	224	224
ENSG00000067646	ZFY	Y	+	5	7	2843696:2845981	2843696:2844711|2844864:2845981	ENSP00000393908	ENSP00000155093|ENSP00000372525|ENSP00000402502	1	1	153	153
ENSG00000021461	CYP3A43	7	+	11	17	99436796:99453214	99436796:99441766|99441866:99445111|99445225:99445789|99445878:99447169|99447318:99453214	ENSP00000416581	ENSP00000222382|ENSP00000312110|ENSP00000346887	4	4	452	452
ENSG00000138443	ABI2	2	+	17	24	204255867:204260379	204255867:204259423|204259570:204260379	ENSP00000261018|ENSP00000408898	ENSP00000261016|ENSP00000261017|ENSP00000295851|ENSP00000391433|ENSP00000396249|ENSP00000404352|ENSP00000414703	1	1	147	147
ENSG00000157800	SLC37A3	7	-	19	29	140035305:140043212	140035305:140037084|140037150:140043212	ENSP00000418610	ENSP00000321498|ENSP00000397481	1	1	66	66
ENSG00000163812	ZDHHC3	3	-	8	11	44970929:44974610	44970929:44974399|44974483:44974610	ENSP00000345268|ENSP00000395502|ENSP00000404108|ENSP00000416132	ENSP00000296127	1	1	84	84
